cpf,name,address,phone,id
001.247.***-**,Sr. Rafael Moraes,"Loteamento Santos, 333
Vista Alegre
16226-538 Leão / CE",+55 84 9108 9865,0
002.695.***-**,Agatha Lima,"Alameda de Sá
Vila Cloris
01009896 Azevedo / MG",+55 (071) 7808-5472,1
003.527.***-**,Oliver Correia,"Parque de Ribeiro
Vila Nova Cachoeirinha 3ª Seção
34739-218 Gomes de Minas / CE",(011) 6268-5806,2
003.820.***-**,Lorenzo Garcia,"Setor Mateus Monteiro, 233
Mariquinhas
86570-286 Farias de Goiás / PE",(051) 0090-5332,3
004.819.***-**,Maria Laura Cunha,"Praça Alves, 77
Estoril
37327944 Rocha do Campo / MA",+55 (041) 1193-2615,4
005.079.***-**,Isadora Viana,"Aeroporto Luiza Caldeira, 9
Paulo Vi
50017900 Sales / PA",(021) 6834 6615,5
005.579.***-**,Davi Lucas Alves,"Colônia Raul Lopes, 332
Dom Silverio
66117-619 Barros das Pedras / MS",+55 11 6784 9970,6
005.636.***-**,Felipe Vasconcelos,"Trecho Alana Moraes
Vila Do Pombal
69164690 Campos / ES",31 7551-4375,7
008.627.***-**,Isis Casa Grande,"Passarela Ribeiro, 52
Vila Jardim São José
07605374 Cavalcanti / DF",71 3195-6510,8
009.001.***-**,Sr. Leonardo Costa,"Jardim de Lopes, 887
Vila Vista Alegre
33598744 Freitas de Cavalcanti / PI",(051) 9621-3498,9
009.686.***-**,Isabelly Almeida,"Colônia Olívia Brito, 81
Vila Novo São Lucas
07717-075 Ramos / PE",(084) 8967 1783,10
010.636.***-**,Sra. Yasmin Duarte,"Distrito Renan da Mata, 602
Minas Brasil
21026-641 Almeida / GO",+55 (051) 2843 8827,11
010.731.***-**,Rael da Conceição,"Estrada de Brito, 717
Satelite
06656061 Caldeira do Amparo / PA",(041) 3959-2466,12
010.940.***-**,Lara Cavalcanti,"Favela Benjamim da Cruz, 247
Vila Do Pombal
03007-741 Alves de Minas / ES",(021) 5575-9734,13
011.989.***-**,Bernardo Carvalho,"Vereda de Viana, 881
Boa Vista
89653722 Montenegro de da Rocha / CE",+55 (071) 3733-3888,14
012.369.***-**,Ryan Duarte,"Lago Isaac Andrade
Barro Preto
83639487 Alves / RR",31 2456 8421,15
012.397.***-**,Ian Brito,"Morro Antônio Dias, 1
Vila Ipiranga
86507-625 Fogaça / SP",+55 81 8460-1391,16
012.848.***-**,Mariane Borges,"Avenida de Nascimento, 6
Lindéia
39920814 Viana do Galho / PR",+55 (061) 1658-1113,17
014.904.***-**,Davi Miguel Cirino,"Esplanada de Garcia, 80
São Francisco Das Chagas
23244-465 Camargo / ES",+55 51 4502 8233,18
016.561.***-**,Milena Vieira,"Residencial de Cardoso, 19
Cabana Do Pai Tomás
73407157 da Conceição de Sousa / ES",(071) 1263-2048,19
017.252.***-**,Levi Ramos,"Distrito Maria Júlia Silva, 407
Planalto
33173893 Rezende Alegre / GO",0800-500-6011,20
020.688.***-**,Sra. Maria Laura Nascimento,"Viela Aparecida, 904
Vila Inestan
91242-203 Fonseca / AM",(011) 8456 9850,21
021.984.***-**,Ágatha Fernandes,"Campo de Fernandes
Das Industrias I
50030-770 Cassiano de Correia / PI",31 7325 2385,22
021.997.***-**,Sr. José Pedro Araújo,"Feira Hadassa Aragão
Mala E Cuia
89248651 Moraes de Garcia / AL",+55 51 4322 1283,23
022.398.***-**,Emilly Montenegro,"Condomínio da Luz, 8
Aeroporto
79354640 Brito Grande / RO",71 0686 1831,24
023.441.***-**,Camila Freitas,"Vila Sá, 9
Conjunto Celso Machado
71758-538 Ribeiro / CE",0300-624-9535,25
024.359.***-**,José Miguel Marques,"Ladeira de Moreira, 67
Vila Nova Gameleira 1ª Seção
05714-485 da Mota de Fernandes / MS",41 4242-2751,26
025.823.***-**,Ravi Lucca Marques,"Jardim Letícia Andrade
Lorena
62495980 Dias / CE",+55 (081) 4286 4305,27
029.043.***-**,Gael Henrique Cardoso,"Chácara Nogueira
Alto Barroca
90218123 Nascimento / MA",(031) 2024-4503,28
030.563.***-**,Dr. Pedro Miguel Rezende,"Área de Rocha
Nova Floresta
78699-488 das Neves / RR",84 1235 1575,29
031.535.***-**,Thomas da Mota,"Conjunto Dom Moraes, 44
Renascença
74552680 Porto da Prata / PI",81 4802 2568,30
032.941.***-**,Sr. Léo Pereira,"Aeroporto da Mota, 5
Canaa
49479-157 Correia do Amparo / RN",+55 (061) 7513-6258,31
034.749.***-**,Srta. Luísa Siqueira,"Loteamento Pires, 28
Conjunto Bonsucesso
53005572 Ramos de da Mota / TO",61 6626-7264,32
036.214.***-**,Dr. Cauê Mendes,"Residencial de Pires
Vila Copacabana
37391116 Lopes de Montenegro / DF",(071) 6437-8372,33
037.918.***-**,Sarah Alves,"Loteamento Ferreira, 808
Vila São Francisco
51584455 da Rosa de Cavalcante / PB",+55 (061) 0811 1023,34
038.242.***-**,Antony Aparecida,"Vereda Pires, 415
Vitoria
20376-023 Machado / RO",51 5979 4889,35
038.912.***-**,Cecilia Cassiano,"Pátio Levi da Costa, 50
Horto Florestal
00315726 Fernandes de Goiás / AC",21 9456 4988,36
039.703.***-**,Murilo Teixeira,"Chácara Helena Cavalcanti, 72
Conjunto Serra Verde
28426205 Aparecida do Amparo / SC",11 1578-1874,37
040.021.***-**,Marcela da Luz,"Morro João Pedro Alves, 64
Penha
31436-284 Oliveira dos Dourados / SE",(021) 2457-8548,38
040.180.***-**,Bento Montenegro,"Parque Sá, 45
Aparecida 7ª Seção
24199-191 da Mota de Minas / PE",(081) 1117 1383,39
040.933.***-**,Bella Gomes,"Área Vitor Vieira, 63
Mariano De Abreu
15963380 Cavalcanti do Oeste / BA",+55 71 6678-1314,40
041.337.***-**,Dra. Isabella Sousa,"Colônia de Cassiano, 1
São Gonçalo
65041-529 Garcia / RS",+55 (061) 3445-9578,41
042.129.***-**,Benjamim Garcia,"Feira de Pastor
Mangueiras
93230728 Jesus / SP",84 5722-8759,42
042.399.***-**,Rafaela Ramos,"Lagoa João Gabriel Cardoso, 66
Horto
70554-032 Almeida / AM",0300-003-9837,43
043.126.***-**,Carolina Nunes,"Chácara de Martins, 26
Morro Dos Macacos
11008-385 Moraes / MT",41 4887-2551,44
043.391.***-**,Sra. Luiza Andrade,"Viela de Cavalcante, 43
Cônego Pinheiro 1ª Seção
17933-364 Nogueira Paulista / MA",(061) 6955 2447,45
