,cpf,cnpj,id
0,730.666.192-22,59.846.442/0001-04,0
1,863.889.303-52,78.479.253/0001-87,1
2,333.180.038-40,85.118.996/0001-97,2
3,119.189.989-65,70.571.659/0001-83,3
4,884.592.857-82,55.410.231/0001-65,4
5,905.606.031-77,51.826.335/0001-02,5
6,724.338.846-91,83.188.672/0001-08,6
7,451.955.630-98,39.989.185/0001-44,7
8,563.268.372-94,16.001.882/0001-40,8
9,460.826.137-16,12.053.009/0001-40,9
10,770.362.432-28,14.464.121/0001-07,10
11,014.904.403-80,76.844.552/0001-48,11
12,601.317.648-53,77.756.317/0001-87,12
13,902.805.230-50,02.496.563/0001-48,13
14,062.021.895-92,20.909.606/0001-51,14
15,500.541.081-36,60.692.675/0001-70,15
16,558.243.678-25,44.786.154/0001-26,16
17,069.523.393-96,24.576.750/0001-74,17
18,302.516.033-00,22.918.935/0001-94,18
19,725.575.884-31,77.883.192/0001-56,19
20,443.271.352-67,27.282.595/0001-71,20
21,289.995.598-58,66.911.409/0001-78,21
22,277.226.519-68,21.023.082/0001-60,22
23,381.461.552-27,42.750.294/0001-19,23
24,746.222.406-29,71.019.772/0001-13,24
25,721.565.005-76,96.088.291/0001-90,25
26,272.715.491-70,68.445.829/0001-31,26
27,226.426.777-10,56.773.021/0001-02,27
28,768.610.402-82,40.830.356/0001-77,28
29,097.345.645-01,40.588.584/0001-82,29
30,330.600.050-79,03.982.215/0001-43,30
31,460.773.496-90,19.226.827/0001-46,31
32,852.502.176-80,61.583.517/0001-45,32
33,531.389.323-80,04.245.520/0001-15,33
34,170.537.640-10,94.267.638/0001-37,34
35,432.712.853-81,01.048.503/0001-08,35
36,051.142.045-56,29.074.843/0001-14,36
37,360.853.306-00,89.938.157/0001-76,37
38,047.478.368-53,17.529.801/0001-41,38
39,423.408.788-29,29.879.514/0001-40,39
40,924.893.308-45,48.774.243/0001-03,40
41,334.242.790-64,55.082.608/0001-02,41
42,082.837.225-06,17.251.154/0001-59,42
43,084.401.865-17,05.145.116/0001-32,43
44,123.896.159-29,73.464.181/0001-80,44
45,465.732.945-64,94.500.714/0001-02,45
46,972.231.507-26,15.314.759/0001-16,46
47,769.945.715-30,17.506.685/0001-45,47
48,283.038.317-63,30.398.799/0001-87,48
49,408.264.795-37,00.230.677/0001-16,49
50,739.998.132-96,88.246.231/0001-20,50
51,264.115.570-20,00.262.987/0001-12,51
52,602.754.494-59,11.232.983/0001-08,52
53,143.982.219-05,59.528.196/0001-34,53
54,392.399.056-18,39.535.581/0001-00,54
55,883.547.182-63,12.525.923/0001-46,55
56,404.491.217-39,87.012.606/0001-25,56
57,525.909.702-50,80.132.275/0001-18,57
58,655.344.365-30,35.642.716/0001-77,58
59,044.545.636-16,45.738.443/0001-12,59
60,161.255.151-33,21.804.846/0001-54,60
61,462.772.133-18,59.633.167/0001-32,61
62,669.327.592-33,39.624.380/0001-70,62
63,094.930.831-52,81.744.680/0001-50,63
64,848.616.295-51,20.067.531/0001-09,64
65,291.418.616-98,24.251.730/0001-23,65
66,062.788.746-52,47.405.136/0001-45,66
67,947.584.588-71,27.207.247/0001-30,67
